DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
colorectal adenocarcinoma (CAC),Escherichia,"The abundance of Escherichia and Enterococcus, which are both opportunistic pathogens, was increased in CAC patients.",What is the relationship between colorectal adenocarcinoma (CAC) and Escherichia?,positive
meningitis,Streptococcus,"Certain species of Streptococcus are pathogenic and may cause infectious diseases like bacterial pneumonia, meningitis, and endocarditis.",What is the relationship between meningitis and Streptococcus?,positive
periodontitis,Porphyromonas gingivalis,"The species of the ?red complex? (Porphyromonas gingivalis, Treponema denticola, and Tannerella forsythia) have historically been seen as the primary infective organisms implicated in periodontitis [137], but this was determined by culture-based studies, which thus missed much of the bacterial diversity present in samples.",What is the relationship between periodontitis and Porphyromonas gingivalis?,positive
halitosis,Porphyromonas,"For instance, saccharolytic (sugar metabolizing) bacteria, such as Streptococcus and Lactobacillus, have been associated with dental caries, while proteolytic (protein metabolizing) bacteria, such as Prevotella and Porphyromonas, have been associated with periodontitis and halitosis (40).",What is the relationship between halitosis and Porphyromonas?,relate
ulcerative colitis (UC),Faecalibacterium prausnitzii,"In patients with ulcerative colitis, depletion of both Faecalibacterium prausnitzii and Roseburia intestinalis has been proposed to be the hallmark of dysbiosis (44).",What is the relationship between ulcerative colitis (UC) and Faecalibacterium prausnitzii?,negative
human immunodeficiency virus (HIV),Haemophilus influenzae,"We next examined the cohort for detection of seven of the most common bacterial pulmonary pathogens detected in HIV-infected patients: Pseudomonas aeruginosa, Haemophilus influenzae, Staphylococcus aureus, Chlamydophila pneumoniae, Mycoplasma pneumoniae, Streptococcus pneumoniae and Legionella pneumophila were detected in 49, 10, 1, 0, 0, 0 and 0 of the subjects, respectively.",What is the relationship between human immunodeficiency virus (HIV) and Haemophilus influenzae?,relate
insulin resistance,Porphyromonas gingivalis,"In a rodent study, oral administration of Porphyromonas gingivalis, a periodontal pathogen, induced systemic inflammation and insulin resistance [8].",What is the relationship between insulin resistance and Porphyromonas gingivalis?,positive
Inflammatory bowel disease (IBD),Fusobacterium,"Recent studies have reported a positive correlation between Fusobacterium abundance and IBD in the host, and a strong association between Fusobacterium and colorectal cancer (CRC).",What is the relationship between Inflammatory bowel disease (IBD) and Fusobacterium?,positive
bacterial pharyngitis,Fn,"[4] Using real-time PCR to study tonsillitis patients aged 18 to 32 years and healthy controls in Denmark, Jensen and colleagues found that 48% of 105 nonstreptococcal tonsillitis patients were positive for Fn compared to 21% of controls, suggesting that this organism may be a major cause of bacterial pharyngitis.",What is the relationship between bacterial pharyngitis and Fn?,positive
cancer,Helicobacter pylori,"Through epithelial injury and inflammation, chronic infections (viruses, Helicobacter pylori and other Helicobacter spp., Bacteroides fragilis, Bacteroides vulgatus, Escherichia coli, Citrobacter rodentium, Citrobacter freundii, and protozoa) are linked to carcinogenesis with approximately 18% of the worldwide cancer burden.",What is the relationship between cancer and Helicobacter pylori?,relate
gastric cancer,Clostridium,"Our results showed an underrepresentation of H. pylori among the gastric microbiota of the patients with gastric cancer, while Fusobacterium and Clostridium were frequently enriched.",What is the relationship between gastric cancer and Clostridium?,relate
metabolic disorders,Akkermansia muciniphila,"Lately, the bacterium Akkermansia muciniphila has received attention due to its beneficial effects on metabolic disorders and it is considered to have probiotic potential (11, 33).",What is the relationship between metabolic disorders and Akkermansia muciniphila?,negative
colorectal cancer (CRC),Pseudobutyrivibrio ruminis,"Populations of the phyla Prevotella as well as Ruminococcus spp. and Pseudobutyrivibrio ruminis were found to be decreased in patients with colorectal cancer, whereas Acidaminobacter, Phascolarctobacterium, Citrobacter farmeri and Akkermansia mucinophila abundances were increased [83].",What is the relationship between colorectal cancer (CRC) and Pseudobutyrivibrio ruminis?,negative
Inflammatory bowel disease (IBD),Clostridiales,"Additionally, some members of the phylum ? such as Faecalibacterium prausnitzii, a member of the Clostridiales-Ruminococcaceae lineage ? have been shown to have anti-inflammatory effects due to production of the short-chain fatty acid butyrate and have been negatively correlated with inflammatory bowel disease107.",What is the relationship between Inflammatory bowel disease (IBD) and Clostridiales?,negative
periodontitis,Porphyromonas gingivalis,"Resveratrol and its glycosylated derivative THSG [113] have been, intriguingly, proposed for possible complementary treatments for periodontitis through their inhibition of Porphyromonas gingivalis-induced inflammatory responses in human gingival fibroblasts [132].",What is the relationship between periodontitis and Porphyromonas gingivalis?,negative
periodontitis,Prevotella,"Additionally, our data in UC and CC specimens show the presence of several orange (Prevotella, Peptostreptococcus, Eubacterium, Fusobacterium, and Campylobacter), red (Porphyromonas), purple (Veillonella), and yellow (Streptococcus) complex putative oral pathogens known to cause gingivitis and periodontitis among IBD patients (Tables 1, 3).",What is the relationship between periodontitis and Prevotella?,relate
periodontitis,Prevotella intermedia,"Porphyromonas gingivalis, Tannerella forsythia, Treponema denticola, Prevotella intermedia and Aggregatibacter actinomycetemcomitans were shown to be higher in Moroccan patients with periodontitis [36] and P. gingivalis, P. intermedia, T. forsythia and Fretibacterium were higher in Japanese patients with periodontitis [37, 38].",What is the relationship between periodontitis and Prevotella intermedia?,positive
gingivitis,Fusobacterium,"Additionally, our data in UC and CC specimens show the presence of several orange (Prevotella, Peptostreptococcus, Eubacterium, Fusobacterium, and Campylobacter), red (Porphyromonas), purple (Veillonella), and yellow (Streptococcus) complex putative oral pathogens known to cause gingivitis and periodontitis among IBD patients (Tables 1, 3).",What is the relationship between gingivitis and Fusobacterium?,relate
ulcerative colitis (UC),Clostridium,"Studies have shown that butyrate-producing bacteria (e.g., Clostridium clusters IV and XIVa) and butyrate concentration are reduced significantly in UC patients [31].",What is the relationship between ulcerative colitis (UC) and Clostridium?,negative
osteoporosis,Lactobacillus,"In addition, Parabacteroides and Lactobacillus were more abundant in the osteoporosis group than in the control group (Supplementary Figure 4), and the relative abundances of Bacteroides massiliensis, Lachnospira pectinoschiza, Bacteroides coprocola and Blautia were significantly higher in the control group than in the PMO and postmenopausal osteopenia groups (Figure 3B and Supplementary Figure 4).",What is the relationship between osteoporosis and Lactobacillus?,positive
Inflammatory bowel disease (IBD),Escherichia coli,Importance of Escherichia coli as Triggers of Intestinal Inflammation in Crohn\'s Disease An altered gut microbiota has long been suspected to play an important part in the pathogenesis of IBD.,What is the relationship between Inflammatory bowel disease (IBD) and Escherichia coli?,relate
rheumatoid arthritis,Prevotella copri,"Prevotella copri and Prevotella stercorea were related to rheumatoid arthritis and carcinoma in adenoma, respectively (Scher et?al., 2013; Moreno, 2015; Kasai et?al., 2016).",What is the relationship between rheumatoid arthritis and Prevotella copri?,relate
hyperglycemia,Lactobacillus acidophilus,"Yadav et al.showed that a probiotic dahi-supplemented diet, containing Lactobacillus acidophilus and Lactobacillus casei, significantly delayed the onset of glucose intolerance, hyperglycemia, hyperinsulinemia, dyslipidemia, and oxidative stress in high fructose-fed diabetic rats, thus lowering the risk of diabetes and its complications [65].",What is the relationship between hyperglycemia and Lactobacillus acidophilus?,negative
gastric cancer,Acinetobacter baumannii,"Moreover, apart from H. Pylori, reduction of different other bacteria like Streptococcus sinensis, Acinetobacter baumannii, Prevotella pallens, Klebsiella pneumonia, Lactobacillus colihominis, and Lachnospiraceae are also responsible for gastric cancer in the human [91][92][93].",What is the relationship between gastric cancer and Acinetobacter baumannii?,relate
chronic rhinosinusitis (CRS),Prevotella salivae,"Lastly, one Prevotella ASV (Prevotella 13, whose sequence was identical to a V4 sequence of Prevotella salivae) was more prevalent in the nasopharynx of CRS patients than in that of the healthy controls (11% of control samples and 25% of CRS patient samples).",What is the relationship between chronic rhinosinusitis (CRS) and Prevotella salivae?,positive
cancer,Escherichia coli,"Through epithelial injury and inflammation, chronic infections (viruses, Helicobacter pylori and other Helicobacter spp., Bacteroides fragilis, Bacteroides vulgatus, Escherichia coli, Citrobacter rodentium, Citrobacter freundii, and protozoa) are linked to carcinogenesis with approximately 18% of the worldwide cancer burden.",What is the relationship between cancer and Escherichia coli?,relate
obeseity (obese),Eisenbergiella,"This finding is concurrent with the findings in non-pregnant individuals as strains of Eisenbergiella and Lactobacillus reuteri have previously been associated with obesity [56, 57].",What is the relationship between obeseity (obese) and Eisenbergiella?,relate
endotoxemia,Prevotella intermedia,"[67], the oral administration of P. gingivalis, and Prevotella intermedia in DBA/1J mice with experimentally collagen-induced arthritis (CIA), led to endotoxemia, systemic inflammation, disruption of intestinal barrier, and intestinal dysbiosis.",What is the relationship between endotoxemia and Prevotella intermedia?,positive
bacterial diarrhea,Campylobacter jejuni,"Campylobacter jejuni is one of the major causes of bacterial diarrhea worldwide, and infection leads to a high rate of childhood mortality in low- to middle-income countries (LMICs) (1, 2).",What is the relationship between bacterial diarrhea and Campylobacter jejuni?,positive
chronic pancreatitis,Granulicatella adiacens,B. fragilis is known to induce signal transducer and activator of transcription 3 and Th17-dependent pathway in colitis-associated CRC (see Supplementary Data 8 for detection of bft genes from enterotoxigenic B. fragilis)37 whereas the abundance of Granulicatella adiacens in saliva is associated with chronic pancreatitis and pancreatic cancer.,What is the relationship between chronic pancreatitis and Granulicatella adiacens?,relate
urinary tract infections (UTIs),Klebsiella pneumoniae,"UTIs can be caused by a variety of bacteria and fungi, but the most common pathogens are uropathogenic Escherichia coli(UPEC), followed by Klebsiella pneumoniae, Enterococcus faecalis, and Proteus mirabilis (34).",What is the relationship between urinary tract infections (UTIs) and Klebsiella pneumoniae?,positive
atherosclerotic plaque lesions,Tannerella forsythia,"In fact, infection of ApoE null hyperlipidemic mice with four established periodontal pathogens Porphyromonas gingivalis, Treponema denticola, Tannerella forsythia, and Fusobacterium nucleatum, led to elevations of serum inflammatory markers and progression of atherosclerotic plaque lesions [16].",What is the relationship between atherosclerotic plaque lesions and Tannerella forsythia?,positive
type 2 diabetes (T2D),Firmicutes,"Studies in people with type 2 diabetes show reduced members of the phylum Firmicutes and Clostridia, especially butyrate-producing (Faecalibacterium prausnitzii, Roseburia intestinalis and Roseburia inulinivorans) and increased members of Gram-negative betaproteobacteria (g.Sutterela), opportunistic pathogens (Bacteroides caccae, Clostridium hathewayi, Clostridium ramosum, Clostridium symbosium, Eggerthela lenta and Esherichia coli), sulphate-reducing bacteria (Desulfovibrio), Lactobacillus spp.",What is the relationship between type 2 diabetes (T2D) and Firmicutes?,negative
colorectal cancer (CRC),Fusobacterium,"Although there is increasing evidence that Fusobacterium is involved in CRC cases, it was detected in less than half of adenomas, which suggests that other bacterial populations are capable of potentiating tumorigenesis [2].",What is the relationship between colorectal cancer (CRC) and Fusobacterium?,relate
periodontitis,Porphyromonas endodontalis,"In periodontitis patients, four genera (Dysgonomonas, Paenibacillus, Mycoplasma, and Campylobacter) and five species (Porphyromonas endodontalis, Dysgonomonas wimpennyi, P. canis, Campylobacter gracilis, and Leptotrichia buccalis) were higher, and only one species (P. melaninogenica) was lower in the C+P+ group compared to the C?P+ group (Figures 3 and 4).",What is the relationship between periodontitis and Porphyromonas endodontalis?,positive
gut dysbiosis,Blautia,"In addition, the positive influence of DLA-M on HFD-induced gut dysbiosis, especially Blautia and Desulfovibrio, may partially contribute to the attenuation of intestinal and systemic inflammation and the prevention of obesity-related metabolic disorders.",What is the relationship between gut dysbiosis and Blautia?,negative
crohn's disease (CD),Faecalibacterium prausnitzii,"For instance, the depletion of Faecalibacterium prausnitzii was correlated with inflammatory bowel diseases (IBD), including colitis and Crohn's disease.",What is the relationship between crohn's disease (CD) and Faecalibacterium prausnitzii?,relate
sepsis,Saccharomyces boulardii,"In a review by Doron and Syndman examining the adverse events associated with probiotics, at least eight cases of bacteremia were associated with lactobacilli, nine cases of sepsis with Saccharomyces boulardii, Lactobacillus rhamnosus GG, Bacillus subtilis, Bifidobacterium breve, or combination probiotics, and two cases of endocarditis were due to lactobacillus and streptococcus probiotics [34].",What is the relationship between sepsis and Saccharomyces boulardii?,relate
colorectal cancer (CRC),Clostridium,"In addition, many other species of Clostridium and Streptococcus, such as Clostridium difficile (Zheng et al., 2017), Streptococcus gallolyticus (Andres-Franch et al., 2017), and Streptococcus infantarius (Kaindi et al., 2018), were reported to be associated with colorectal cancer.",What is the relationship between colorectal cancer (CRC) and Clostridium?,relate
colitis-like conditions,Salmonella enterica,"Bacteria such as Citrobacter rodentium, Helicobacter pylori, Mycobacterium avium, and Salmonella enterica serovar Typhimurium are commonly used in animal models to trigger colitis-like conditions (Jiminez et al., 2015).",What is the relationship between colitis-like conditions and Salmonella enterica?,positive
autism,Sutterella,"Gut microbiota in patients with autism is often different with increased levels of Bacteroides phylum, Sutterella species and toxin-producing Clostridium histolyticum, but with reduced amounts of Firmicutes, Veilonellaseae, Prevotella and Coprococcus species bacteria.",What is the relationship between autism and Sutterella?,positive
obeseity-related metabolic disorders,Blautia,"In addition, the positive influence of DLA-M on HFD-induced gut dysbiosis, especially Blautia and Desulfovibrio, may partially contribute to the attenuation of intestinal and systemic inflammation and the prevention of obesity-related metabolic disorders.",What is the relationship between obeseity-related metabolic disorders and Blautia?,negative
tumors from the left colon,Parvimonas micra,"For instance, Fusobacterium and Bacteroides fragilis were abundant in tumors from the right colon, whereas Parvimonas micra was associated with tumors from the left colon.",What is the relationship between tumors from the left colon and Parvimonas micra?,relate
irritable bowel syndrome (IBS),CB,Probiotic CB improves overall IBS symptoms in IBS-D patients compared with placebo.,What is the relationship between irritable bowel syndrome (IBS) and CB?,negative
CRC-related,Peptostreptococcus stomatis,"For example, Zeller and Feng et al.showed that Porphyromonas asaccharolytica, Peptostreptococcus stomatis, Fusobacterium vincentii, and Fusobacterium animalis were predictive in the early diagnosis of colorectal cancer, which are among the tops of our list; in particular, F. nucleatum is a common CRC-related species which promotes tumor development [18,20,35].",What is the relationship between CRC-related and Peptostreptococcus stomatis?,relate
gastric cancer,Helicobacter pylori,"Such triggers include microbial infections (for example, infection with Helicobacter pylori is associated with gastric cancer and gastric mucosal lymphoma or HCV infection which is associated with liver carcinoma), autoimmune diseases (for example, intestinal bowel disease (IBD) is associated with colon cancer) and chronic inflammatory conditions such as asthma, chronic obstructive pulmonary disease (COPD).",What is the relationship between gastric cancer and Helicobacter pylori?,relate
metabolic dysfunction,Prevotella copri,"Microbiome-mediated succinate production, for instance, was found to impact directly upon glucose homeostasis by inducing intestinal gluconeogenesis, while branched-chain amino acid production, in this case by Prevotella copri and Bacteroides vulgatus, has previously been associated with metabolic dysfunction and future insulin resistance.",What is the relationship between metabolic dysfunction and Prevotella copri?,relate
paediatric respiratory infection,Haemophilus haemolyticus,"For example, in the context of paediatric respiratory infection, Haemophilus influenzae is considered an important pathogen, whereas Haemophilus haemolyticus is considered commensal.",What is the relationship between paediatric respiratory infection and Haemophilus haemolyticus?,positive
colorectal cancer (CRC),Bacteroides fragilis,"For example, enterotoxigenic Bacteroides fragilis (ETBF), polyketide synthase (pks) NC101 Escherichia coli, Streptococcus gallolyticus, and Enterococcus faecalis have been shown to promote the development of CRC in in vitro studies.",What is the relationship between colorectal cancer (CRC) and Bacteroides fragilis?,positive
colorectal cancer (CRC),Fusobacterium nucleatum,"Of all oral bacteria, Porphyromonas gingivalis and Fusobacterium nucleatum might possess the greatest potential to be correlated with oral cancer, as both have been implicated in pancreatic and colorectal cancers.",What is the relationship between colorectal cancer (CRC) and Fusobacterium nucleatum?,relate
hepatic inflammation,Enterococcus,"Beyond the intestine, Enterococcus expansion is linked to hepatic inflammation in hepatitis B virus-related cirrhosis and E. faecalis enhances inflammation in mouse models of alcoholic cirrhosis with gastric acid suppression.",What is the relationship between hepatic inflammation and Enterococcus?,relate
necrotic enteritis (NE),Clostridium perfringens,"The main causative pathogen of NE is a spore-forming, anaerobic, and gram-positive bacterium Clostridium perfringens and NE is often associated with the predisposing factor of Eimeria maxima and/or E. acervulina infection.",What is the relationship between necrotic enteritis (NE) and Clostridium perfringens?,positive
Periodontal disease-associated,Porphyromonas gingivalis,"Periodontal disease-associated species, Porphyromonas gingivalis, Tannerella forsythia and Prevotella intermedia, were correlated with a risk of GI cancer regardless of cancer type.",What is the relationship between Periodontal disease-associated and Porphyromonas gingivalis?,relate
hepatocellular cancer (HCC),Enterococcus,"The sequencing of 16S bacterial RNA showed in the stool of HCC patients increased abundance of Bacteroides, Ruminococcus, Enterococcus, Phascolarctobacterium, and Oscillospira and decreased abundance of Bifidobacteria and Blautia as compared with liver cirrhosis without HCC.",What is the relationship between hepatocellular cancer (HCC) and Enterococcus?,positive
pneumonia,Moraxella catarrhalis,"Best-known Moraxella infections are produced by Moraxella catarrhalis, which causes respiratory infections, including pneumonia and otitis in human.",What is the relationship between pneumonia and Moraxella catarrhalis?,positive
necrotizing enterocolitis (NEC),Staphylococcus epidermidis,"Such OTUs include those matching closest to the potentially pathogenic Klebsiella granulomatis, Klebsiella pneumoniae and Clostridium perfringens, but also one that matched Staphylococcus epidermidis, a known skin commensal that has previously been associated with NEC risk.",What is the relationship between necrotizing enterocolitis (NEC) and Staphylococcus epidermidis?,relate
GI disorders,Clostridium,"Clostridium, Streptococcus, Chryseobacterium, Haemophilus, and Comamonas are involved in GI disorders, maternal inflammation, maternofetal immune activation, neonatal sepsis, bacteremia or meningitis, acute appendicitis, and childhood vaccination [38], [39], [40], [41], [42].",What is the relationship between GI disorders and Clostridium?,relate
colorectal cancer (CRC),Bacteroides fragilis (B. fragilis),"The pathogens that appear to be primarily involved in the pathogenesis of colorectal cancer  are Streptococcus bovis (S. bovis), Hp, Bacteroides fragilis (B. fragilis), Enterococcus faecalis (E. faecalis), Clostridium septicum (C. septicum), Fusobacterium spp.",What is the relationship between colorectal cancer (CRC) and Bacteroides fragilis (B. fragilis)?,positive
autism spectrum disorder (ASD),Clostridium,"For instance, studies in ASD have found Clostridium or Desulfovibrio bacteria clusters over-represented in children with gastrointestinal complaints and ASD as compared to children with similar gastrointestinal complaints but typical neurobehavioral development [113, 116, 117].",What is the relationship between autism spectrum disorder (ASD) and Clostridium?,positive
periodontitis,Prevotella intermedia,"Further, a small proportion of taxa with increased relative abundance were observed in the control group, including some periodontitis associated species such as Prevotella intermedia and Filifactor alocis (possibly explained by marginally higher periodontitis extent in the control group).",What is the relationship between periodontitis and Prevotella intermedia?,relate
gingivitis,Peptostreptococcus,"Additionally, our data in UC and CC specimens show the presence of several orange (Prevotella, Peptostreptococcus, Eubacterium, Fusobacterium, and Campylobacter), red (Porphyromonas), purple (Veillonella), and yellow (Streptococcus) complex putative oral pathogens known to cause gingivitis and periodontitis among IBD patients (Tables 1, 3).",What is the relationship between gingivitis and Peptostreptococcus?,relate
intestinal disorders,BA,"Among them, Bacillus amyloliquefaciens (BA) has gained more attention, and emerging evidence has identified its health-beneficial properties in the treatment of intestinal disorders, such as diarrhea and inflammation.",What is the relationship between intestinal disorders and BA?,negative
mastitis,Lactococcus lactis,"We have already shown that the two-component bacteriocin, lacticin 3147, produced by the lactic acid bacterium (LAB) Lactococcus lactis DPC3147 inhibits Gram positive mastitis pathogens (Ryan et al., 1998, 1999; Klostermann et al., 2008, 2010).",What is the relationship between mastitis and Lactococcus lactis?,negative
congenital jaundice (CJ),Faecalibacterium prausnitzii,"The levels of potentially beneficial bacteria, such as Bifidobacterium (OTU96) and Faecalibacterium prausnitzii (OTU151), were significantly decreased in infants with CJ.",What is the relationship between congenital jaundice (CJ) and Faecalibacterium prausnitzii?,negative
intestinal inflammation,Clostridium,"Enterococcus spp. are important causes of human infections [40] and different species of Clostridium have been implicated in the induction of intestinal inflammation, due to production of extracellular toxins, and they may be detrimental during increased permeability of the colonic mucosa [41].",What is the relationship between intestinal inflammation and Clostridium?,relate
colorectal cancer (CRC),Hp,"The pathogens that appear to be primarily involved in the pathogenesis of colorectal cancer [78] are Streptococcus bovis (S. bovis) [79], Hp [80], Bacteroides fragilis (B. fragilis) [81], Enterococcus faecalis (E. faecalis) [82], Clostridium septicum (C. septicum) [83], Fusobacterium spp.",What is the relationship between colorectal cancer (CRC) and Hp?,positive
cystic fibrosis lung,Pseudomonas aeruginosa,"Although Pseudomonas aeruginosa is the major colonizer of the CF lung, Burkholderia cepacia complex and Staphylococcus aureus also predominate in these infections, with colonization of B.?cepacia indicating chronic infection (Jones et al., 2004).",What is the relationship between cystic fibrosis lung and Pseudomonas aeruginosa?,relate
colorectal cancer (CRC),Coprococcus comes,"The other 10 species including Eubacterium eligens, Coprococcus comes, Eubacterium hadrum, Eubacterium hallII, Fusicatenibacter saccharivorans, Blautia faecis, Roseburia faecis, Ruminococcus lactaris, Eubacterium desmolans, Streptococcus salivarius, decreased in CRC patients (Additional?file?2: Table S1).Fig 2Hierarchical ward-linkage clustering of CRC-associated species.",What is the relationship between colorectal cancer (CRC) and Coprococcus comes?,negative
cardiovascular disorders,Serratia marcescens,"Vitamin-K-producing gut bacteria namely Bacteroides fragilis, Eubacterium lentum, Enterobacter agglomerans, Serratia marcescens, and Enterococcus faecium (Fernandez and Collins, 1987; Cooke et al., 2006) anaerobically synthesize vitamin K2 (menaquinone) which is essential in decreasing vascular calcification, elevating HDL and lowering cholesterol levels, contributing to lower risk of cardiovascular disorders such as atherosclerosis and coronary heart disease (Kawashima et al., 1997; Geleijnse et al., 2004).",What is the relationship between cardiovascular disorders and Serratia marcescens?,negative
cancer,Bacteroides fragilis,Intestinal Bacteroides species such as Bacteroides thetaiotaomicron and Bacteroides fragilis have been confirmed to improve immunity against cancer through antibodies directed against lymphocyte-associated antigen-4 (CTLA-4) by modulating dendritic cells.,What is the relationship between cancer and Bacteroides fragilis?,negative
colorectal cancer (CRC),Bifidobacterium,"The abundance of probiotics such as Bifidobacterium, Lactobacillus, and Ruminococcus were reduced in CRC patients.",What is the relationship between colorectal cancer (CRC) and Bifidobacterium?,negative
metabolic endotoxemia,Bifidobacterium animalis,"These results represent a further solid argument in favour of using Bifidobacterium animalis for the reduction of metabolic endotoxemia and for the development of a therapeutic strategy based on bacterial translocation control and mucosal dysbiosis in type 2 diabetes, associated with obesity or metabolic syndrome.",What is the relationship between metabolic endotoxemia and Bifidobacterium animalis?,negative
colorectal cancer (CRC),Fusobacterium nucletum,"Similarly, Enterotoxigenic Bacteroides fragilis and Fusobacterium nucletum are identified to be highly expressed in colorectal cancer tissue compared to the matched tissue, and Fusobacterium nucletum is proved to be associated with high microsatellite instability [24].",What is the relationship between colorectal cancer (CRC) and Fusobacterium nucletum?,positive
immune-related disorders,Clostridium,"In another prospective study, a reduced ratio of Bifidobacterium to Clostridium counts in the faecal microbiota of infants was shown to precede the development of atopic diseases later in life, indicating that the relative proportions of these bacterial groups may favour or protect against the development of immune-related disorders.",What is the relationship between immune-related disorders and Clostridium?,negative
acute appendicitis,Chryseobacterium,"Clostridium, Streptococcus, Chryseobacterium, Haemophilus, and Comamonas are involved in GI disorders, maternal inflammation, maternofetal immune activation, neonatal sepsis, bacteremia or meningitis, acute appendicitis, and childhood vaccination [38], [39], [40], [41], [42].",What is the relationship between acute appendicitis and Chryseobacterium?,relate
periodontitis,Fusobacterium periodonticum,"The same trend is seen at species level where higher proportion of Veillonella atypica and lower proportion of Haemophilus parainfluenzae were associated with dental caries, and higher proportions of Fusobacterium periodonticum and Leptotrichia wadei and lower proportions of Haemophilus parainfluenzae were associated with periodontitis, when compared to orally healthy individuals.",What is the relationship between periodontitis and Fusobacterium periodonticum?,relate
inflammatory periodontitis through dysbiosis,Porphyromonas gingivalis,"The keystone pathogen hypothesis was developed to explain how despite its low-level colonization of the periodontium, Porphyromonas gingivalis (P. gingivalis) causes inflammatory periodontitis through dysbiosis, i.e., an unbalancing of the relative abundance of individual components of the microbiota compared with their abundances in health (Hajishengallis et al., 2012).",What is the relationship between inflammatory periodontitis through dysbiosis and Porphyromonas gingivalis?,positive
bacteraemia,Streptococcus pneumoniae,"Streptococcus pneumoniae, the pneumococcus, causes several serious and often life-threatening infections including meningitis, pneumonia and bacteraemia.",What is the relationship between bacteraemia and Streptococcus pneumoniae?,positive
autoimmune diseases,Prevotella copri,"Several of the taxa most important for distinguishing Entamoeba presence, which included Prevotella copri, are also associated with autoimmune diseases [21].",What is the relationship between autoimmune diseases and Prevotella copri?,relate
colon cancer,Bifidobacterium breve,"Similarly, CLnA, produced by Bifidobacterium breve, were able to inhibit the growth of human colon cancer cells and could be associated with an anti-obesity effect [15], [16].",What is the relationship between colon cancer and Bifidobacterium breve?,negative
Inflammatory bowel disease (IBD),Enterococcus,"Overall, enhanced microbial diversity, decreased Firmicutes, and increased Bacteroidetes and SCFAs levels evidence that these (or such) probiotic Lactobacillus and Enterococcus strains (particularly, in combination) may be beneficial in ameliorating gut microbiome dysbiosis in several human diseases including obesity, type 2 diabetes, cancer, and IBDs, and might serve as potential biotherapy to prevent/cure such ailments.",What is the relationship between Inflammatory bowel disease (IBD) and Enterococcus?,negative
alzheimer's disease (AD),Lactobacillus fermentum,"For example, Lactobacillus fermentum NCIMB 5221 potently produces ferulic acid (FA), a phytochemical that reduces A? fibril formulation, neuroinflammation and restores learning and memory deficits in AD animal models [10].",What is the relationship between alzheimer's disease (AD) and Lactobacillus fermentum?,negative
colorectal cancer (CRC),Clostridium_Q,"Clostridium_Q is a member of the family Lachnospiraceae described recently in a reassessment of bacterial taxonomy (Parks et al., 2018) and includes the species Clostridium symbiosum, an important biomarker associated with colorectal cancer progression (Xie et al., 2017; Thomas et al., 2019).",What is the relationship between colorectal cancer (CRC) and Clostridium_Q?,relate
autoimmune encephalomyelitis (EAE),Bacteroides fragilis,Many studies have also shown that gut microbiota plays an important role in the pathogenesis of MS. Polysaccharide A (PSA) produced by intestinal Bacteroides fragilis has been discovered to protect against the disease symptoms in the experimental autoimmune encephalomyelitis (EAE) model [47].,What is the relationship between autoimmune encephalomyelitis (EAE) and Bacteroides fragilis?,negative
type 1 diabetes (T1D),Lactobacillus,"Probiotic supplements containing Bifidobacterium bifidum have promoted the expansion of Tregs in cell cultures, and probiotics enriched with strains of Lactobacillus alone or in combination with retinoic acid have prevented the development of type 1 diabetes in NOD mice[254,263].",What is the relationship between type 1 diabetes (T1D) and Lactobacillus?,negative
colorectal cancer (CRC),Enterococcus,"However, Enterococcus faecalis (E. faecalis), among Enterococcus species, may also correlate with CRC development.",What is the relationship between colorectal cancer (CRC) and Enterococcus?,relate
alzheimer's disease (AD),Streptococcus,Outgrowths of Staphylococcus and reductions of other communities like Streptococcus or Propionibacterium species correlate with AD flares.,What is the relationship between alzheimer's disease (AD) and Streptococcus?,relate
Inflammatory bowel disease (IBD),Escherichia coli,"In particular, different microorganisms belonging to Proteobacteria, such as Campylobacter, enterohepatic Helicobacter and Escherichia coli are often associated with the pathogenesis of inflammatory bowel disease (IBD), being able to negatively influence the immune system and enhance intestinal inflammation[26].",What is the relationship between Inflammatory bowel disease (IBD) and Escherichia coli?,positive
cancer,Streptococcus,Schmidt et al.and Wang et al.describe that Firmicutes (especially Streptococcus) and Actinobacteria (especially Rothia) are significantly decreased in cancer patients when comparing tumour sites with contralateral non-tumour samples from the same patient.,What is the relationship between cancer and Streptococcus?,negative
systemic lupus erythematosus,Ruminococcus obeum,"No previous association of Blautia coccoides (which was depleted in our na?ve group) with RA was reported; nonetheless, it was shown that enriching the gut microbiota of systemic lupus erythematosus patients with Blautia coccoides, together with Ruminococcus obeum and Bifidobacterium bifidum, improved the inflammatory status by inducing the production of the immunosuppressive regulatory T cells (Tregs) [31].",What is the relationship between systemic lupus erythematosus and Ruminococcus obeum?,negative
dysbiosis,Lactobacillus plantarum,"Additional Information How to cite this article: Davis, D. J. et al.Lactobacillus plantarum attenuates anxiety-related behavior and protects against stress-induced dysbiosis in adult zebrafish.",What is the relationship between dysbiosis and Lactobacillus plantarum?,negative
gastric cancer,Lactobacillus,"Lertpiriyapong et al showed that mice harbouring a complex intestinal microbiota, and mice colonised with a restricted intestinal microbiota (that includes Clostridium and Lactobacillus), had an accelerated onset and progression of gastric cancer secondary to H. pylori infection.",What is the relationship between gastric cancer and Lactobacillus?,positive
